StudentID,CGPA,Internships,Projects,Workshops_Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus
STU04412,7.45,2,2,1,67,2.3,No,No,43.7,64.9,Placed
STU09864,6.53,1,0,3,77.1,5,Yes,No,100,71.9,Placed
STU02135,7.18,2,3,1,58.6,3.5,No,Yes,67.6,71,Placed
STU09667,7.4,3,3,2,70.8,4.5,Yes,No,72.9,78.6,Placed
STU02793,7.13,0,2,1,65.3,3.6,No,No,67.9,87,NotPlaced
STU06309,7.44,1,0,1,73.4,3.5,Yes,No,56.1,74,NotPlaced
STU04341,8.35,2,3,1,59.8,4.6,Yes,No,57.3,70.9,Placed
STU07966,7.09,1,2,0,78.7,2.5,Yes,No,67.1,79.8,NotPlaced
STU02133,8.11,3,2,0,60.8,5,No,Yes,54.7,87.3,Placed
STU08861,7.77,0,1,2,69.6,3.7,No,Yes,68.6,76.5,NotPlaced
STU01224,7.87,2,2,1,83.3,2.3,Yes,Yes,93.8,73.3,Placed
STU07049,6.36,0,0,3,76.5,4.1,Yes,No,64.4,59.3,NotPlaced
STU07192,7.53,1,1,2,66.2,4.2,Yes,Yes,60.5,61.7,Placed
STU02087,7.04,1,2,1,68.3,5,No,No,63.2,71.5,NotPlaced
STU06224,9.19,1,2,2,67.1,3.4,No,No,71,56.2,Placed
STU09484,7.75,1,2,0,71.9,3.8,Yes,Yes,63.3,64.3,Placed
STU08511,7.5,1,3,1,70.3,3.9,Yes,No,66.8,61.2,Placed
STU05802,7.29,0,1,2,71.8,2.8,Yes,No,65.5,77.3,NotPlaced
STU06790,8.12,0,3,1,64.7,4.1,Yes,Yes,78.1,78.6,Placed
STU06024,7.25,1,1,1,49.5,4.4,Yes,Yes,93.1,68.3,Placed
STU03074,8.97,1,3,2,49.3,5,No,No,76.4,60.6,Placed
STU06889,6.93,1,3,1,64.3,4.2,Yes,No,93.3,71.1,Placed
STU05512,8.16,1,0,0,59.3,3.3,Yes,No,81.2,69.9,NotPlaced
STU06633,7.15,2,1,1,95.8,3.1,Yes,No,69.1,61,Placed
STU01486,8.34,0,2,0,58.3,3.2,Yes,No,66.7,61.7,NotPlaced
STU00684,7.94,0,2,2,74.9,3.6,Yes,Yes,64.1,77.2,Placed
STU08059,7.66,2,2,2,71.5,4,Yes,No,70.5,57.5,Placed
STU08198,9.37,0,1,3,73.8,2.9,Yes,Yes,58.2,48.9,Placed
STU07357,7.78,1,3,0,75.8,4.2,Yes,Yes,79.4,82.1,Placed
STU09743,6.19,2,4,2,84.8,2.2,No,Yes,71.4,49.7,Placed
STU01094,7.55,1,1,1,79.3,4.8,Yes,Yes,91.5,61.4,Placed
STU04356,8.14,0,1,2,56.7,1.8,Yes,Yes,79.1,83.4,NotPlaced
STU02261,7.89,0,2,2,64.9,5,Yes,No,55,80.6,Placed
STU09227,7.06,1,3,2,58.9,3.3,Yes,No,70.6,55.4,Placed
STU05279,6.8,1,2,1,74.4,3.3,No,Yes,56.6,65.7,NotPlaced
STU00359,7.79,0,2,2,72.4,4.4,No,Yes,71.8,61.9,Placed
STU05973,8.12,2,2,1,81.4,3.4,Yes,No,66.1,64.1,Placed
STU05797,10,1,3,0,61,4,No,No,58.4,79.4,Placed
STU04008,6.93,1,0,1,64.3,4.6,Yes,No,72.1,78.5,NotPlaced
STU01935,9.88,0,2,0,73.3,4.4,No,Yes,77.8,68.4,Placed
STU00793,7.74,3,3,1,73.5,2.6,No,Yes,72.8,64.4,Placed
STU04480,8.45,0,2,3,63.8,3.4,No,Yes,55,57.3,NotPlaced
STU08576,7.87,1,4,3,56.6,3.5,Yes,No,63.3,69.1,Placed
STU07952,8.38,1,1,0,80,4.8,Yes,Yes,71.1,66.1,Placed
STU04610,6.74,1,2,0,60,3,Yes,Yes,66.4,61.7,NotPlaced
STU07957,7.46,1,2,1,86,3,Yes,Yes,68.9,69.4,Placed
STU08892,7.98,1,2,2,86.4,4.4,No,Yes,77.3,53.1,Placed
STU03908,6.23,3,1,1,76.1,3.3,Yes,Yes,46.5,49.7,Placed
STU09890,6.49,1,2,1,81.8,3.6,No,Yes,66.5,61.3,Placed
STU02131,7.89,1,2,3,71.9,3.5,No,No,65.9,73.6,Placed
STU03618,7.24,1,3,1,85.5,3.7,No,Yes,77.5,74.7,Placed
STU06703,5.5,0,3,3,83.9,4.3,No,Yes,93.3,75.5,NotPlaced
STU04280,7.83,2,0,0,85.3,4.3,No,No,68,58.5,NotPlaced
STU05991,7.98,1,1,1,71.1,2.4,Yes,Yes,89.1,47.1,Placed
STU03785,7.92,0,3,0,59.7,4.3,Yes,Yes,95.6,82.5,Placed
STU08369,8.96,1,2,1,77.4,3.3,Yes,Yes,73.5,77,Placed
STU08600,7.81,1,2,2,74,3.2,Yes,No,66.1,79.7,NotPlaced
STU04511,6.43,2,0,2,72.6,3.9,Yes,Yes,68,66.5,Placed
STU02559,7.8,0,2,3,68.2,3,Yes,No,78.3,77.9,Placed
STU03607,6.8,2,2,2,76.1,2.6,Yes,No,68.1,56.9,Placed
STU07195,8.17,0,1,2,80.1,3.9,Yes,No,80.4,49.5,NotPlaced
STU08231,7.51,0,1,3,71.6,2.9,No,Yes,64.8,78.7,Placed
STU09496,6.41,1,2,0,83.4,2.3,Yes,Yes,56,76.3,Placed
STU01584,7.56,2,4,2,63.4,2.6,Yes,Yes,53,67,Placed
STU05634,7.77,0,3,1,71.2,4.5,No,No,86.8,85.4,Placed
STU02061,8.27,2,4,2,77.1,4.1,No,Yes,63.7,64.5,Placed
STU01841,7.38,2,3,2,73.1,4.4,Yes,No,58.4,92.3,Placed
STU00958,7.91,1,2,2,70.8,3.8,Yes,Yes,87.1,65.5,Placed
STU03675,7.44,2,3,0,88.7,2.4,Yes,Yes,66.3,63.5,Placed
STU03847,8.48,2,1,3,60.2,3,No,No,82.7,81,Placed
STU07851,9.3,3,1,2,78,2.8,No,No,78.9,54.3,Placed
STU03555,5.84,1,2,2,60,2.9,Yes,Yes,82,66.4,NotPlaced
STU07820,7.71,2,2,1,63.9,2.1,Yes,No,77.7,97.9,Placed
STU02404,7.26,0,1,1,49.9,4.4,No,Yes,75.6,59.1,NotPlaced
STU06467,6.74,1,3,0,90.7,2.8,Yes,No,88.5,69.4,Placed
STU00959,8.01,1,2,0,61.5,4.4,No,No,66.6,53.2,NotPlaced
STU04368,7.53,2,2,2,84.7,3.3,No,Yes,60.5,64.5,Placed
STU07457,6.68,1,3,3,78.9,4.1,Yes,No,69.8,64.8,Placed
STU00037,7.69,0,3,0,75.4,4,No,Yes,77.6,52.2,Placed
STU05146,7.61,0,3,1,69.6,5,Yes,Yes,84.9,44.3,Placed
STU05400,7.78,1,2,2,69.9,2.3,Yes,No,84.6,70.1,Placed
STU00101,6.23,0,2,2,84.1,4.4,Yes,No,60.4,52.8,NotPlaced
STU08873,5.91,1,2,0,83.9,3.1,No,No,80.7,71.7,NotPlaced
STU05838,8.8,2,1,2,54.7,4.7,Yes,No,75,48.5,Placed
STU03682,7.15,0,0,1,68.9,4.9,Yes,No,94.4,63,NotPlaced
STU05898,8.47,2,4,1,70.7,1.8,Yes,Yes,60.9,71.9,Placed
STU04692,7.72,1,2,2,83.9,5,No,No,76.1,73.6,Placed
STU03009,8.47,1,1,1,77.3,2.9,Yes,No,77.2,55,NotPlaced
STU07327,8.56,2,1,3,70.6,3,Yes,Yes,70.5,58.9,Placed
STU07025,8.52,0,2,2,87.3,3.2,No,Yes,64,74.5,Placed
STU05490,7.15,0,2,1,64.5,3.8,Yes,No,84,56.2,NotPlaced
STU02942,7.08,1,3,2,82.9,3.7,Yes,No,50,73.3,Placed
STU06604,7.88,3,2,0,95,3.4,Yes,No,86.6,92.4,Placed
STU07221,8.5,1,3,0,71.8,3.8,No,Yes,82,54.2,Placed
STU06232,7.17,1,2,1,74.2,2.8,No,No,72.2,64.1,Placed
STU03810,8.23,1,3,1,57.2,3.5,No,No,86,73.2,NotPlaced
STU00660,7.37,0,2,1,86.3,3.8,Yes,Yes,63.1,56.9,NotPlaced
STU02557,5.13,0,2,1,77.5,3.1,Yes,Yes,72.8,84.4,NotPlaced
STU00993,7.28,2,2,1,79.8,4.1,No,No,61.4,75,Placed
STU01275,8.59,0,1,1,71.4,3.9,No,Yes,69.8,76,Placed
STU03792,7.13,1,2,1,58,3.4,Yes,Yes,74.8,62,Placed
STU03768,8.67,1,2,2,88.7,3.1,Yes,Yes,64.9,85.5,Placed
STU04865,7.43,1,4,1,72.5,4.3,Yes,Yes,57.4,48.8,Placed
STU06137,8.48,0,3,2,69,3.9,No,Yes,90.8,74.7,Placed
STU06118,6.75,1,1,1,79.4,2.7,No,No,81.6,53.5,NotPlaced
STU01619,7.12,0,1,2,76.5,4.2,No,Yes,53.5,71.8,NotPlaced
STU09434,6.93,2,2,2,59.4,3.8,Yes,No,80.6,63.9,Placed
STU01014,6.88,2,4,0,74,4.3,Yes,No,73.6,92.5,Placed
STU05468,7.72,1,1,0,74.8,1.7,Yes,Yes,59.8,69.9,NotPlaced
STU01347,5.2,0,3,2,76.4,4.4,No,Yes,52.3,85.7,NotPlaced
STU07294,6.62,0,0,1,91,4.9,Yes,No,76.5,70.3,NotPlaced
STU06100,6.85,1,1,2,84.2,3.9,Yes,Yes,79.8,71.4,NotPlaced
STU00587,7.09,0,0,1,77.9,3.7,Yes,Yes,76.3,66.9,NotPlaced
STU03595,8.63,2,1,1,71.9,2.5,No,Yes,85.6,57.9,Placed
STU09731,6.35,3,0,1,60.6,3,Yes,No,83,54.8,NotPlaced
STU06495,6.58,1,2,3,82.6,2.9,Yes,Yes,79.3,76.6,Placed
STU06601,6.34,1,2,0,53,2.1,Yes,Yes,62.1,58.2,NotPlaced
STU02226,8.69,2,2,2,76.4,3.6,Yes,No,78.2,63.3,Placed
STU08222,8.37,1,1,1,72.8,1.4,No,No,88.4,62.9,NotPlaced
STU02309,7.98,1,0,2,80.3,2.5,Yes,Yes,61.6,78,NotPlaced
STU07167,9.21,1,1,1,78,2.3,Yes,No,89,76,NotPlaced
STU06343,7.37,2,4,1,64,3.7,Yes,No,96.8,60.2,Placed
STU01480,7.11,0,0,2,69.3,2.4,No,Yes,78,79,NotPlaced
STU03109,7.91,2,3,2,68.4,4.2,Yes,Yes,63,72.9,Placed
STU03004,9.2,1,0,1,71.3,2.6,Yes,No,74.6,81.5,NotPlaced
STU00623,9.19,1,3,3,88.7,4.9,Yes,Yes,61.1,81.9,Placed
STU02558,7.5,0,4,1,82.8,3.1,Yes,Yes,91.8,77.2,Placed
STU06794,6.95,2,1,1,50.1,4.8,No,Yes,95.1,65.2,Placed
STU07837,8.13,1,3,2,78,3.1,Yes,No,49.9,61,Placed
STU09307,8.25,1,2,0,92.4,2.5,No,No,61.2,77.1,NotPlaced
STU09705,7.99,1,4,2,72.1,2.4,Yes,Yes,60.3,75.3,Placed
STU01877,6.99,1,1,1,71.5,5,No,Yes,82.6,63.2,NotPlaced
STU03148,6.86,1,1,2,63.5,3.1,Yes,Yes,80.3,77.1,Placed
STU07584,8.73,1,0,1,75.5,3.9,Yes,No,88,84.1,NotPlaced
STU05688,7.05,1,1,0,68.3,3.5,No,No,62,82.9,NotPlaced
STU00951,7.28,0,2,1,76.5,3.3,No,Yes,81.2,94.1,NotPlaced
STU01597,8.06,1,3,0,77.4,3.4,Yes,Yes,91.2,71,Placed
STU09708,8.39,2,1,0,74.4,3.4,No,No,68.2,68.4,Placed
STU02233,5.73,0,3,3,60,3.9,Yes,Yes,71.2,75.9,Placed
STU00628,7.39,0,2,1,76.8,2.9,Yes,No,80.8,65.2,NotPlaced
STU06723,7.8,2,1,1,68.9,2.8,Yes,Yes,75.7,64.1,Placed
STU04496,9.01,2,1,1,80.1,4.4,No,Yes,78.7,88.1,Placed
STU04631,6.11,1,3,2,60.2,3.6,No,Yes,72.8,62.2,Placed
STU07163,7.99,2,1,2,64.9,3.1,Yes,No,67.3,76.3,Placed
STU07860,7.99,3,1,1,81.9,2.5,Yes,No,74.7,54.6,Placed
STU08633,8.86,1,1,1,74.4,2.2,No,Yes,81,90,Placed
STU03835,6.63,1,2,1,72,5,No,No,79.1,45.4,NotPlaced
STU06939,7.11,2,2,1,90.5,2.9,Yes,No,79.8,59.9,Placed
STU08278,8.2,0,3,2,64.7,1.5,No,No,75.4,93.8,NotPlaced
STU06955,6.6,0,0,1,75.7,4.9,No,Yes,91.9,61.8,NotPlaced
STU05303,8.27,0,2,0,71.3,2.7,No,Yes,66.7,70.8,NotPlaced
STU04622,9.05,1,0,0,69.1,3.3,Yes,Yes,57.6,40,Placed
STU06014,8.48,1,1,3,51.9,3.7,Yes,Yes,61.3,65.4,Placed
STU01750,8.4,1,2,1,90.5,4.4,No,Yes,44.9,82.7,Placed
STU01250,6.1,1,2,1,70.7,3,Yes,Yes,72.7,58.2,NotPlaced
STU00691,7.18,2,3,1,66.8,3,No,No,66.1,94,Placed
STU04829,8.33,1,2,1,64.9,4.3,No,No,88,76.8,NotPlaced
STU06684,7.45,0,3,1,77.5,3.7,No,No,55.6,68.8,NotPlaced
STU04698,8.65,3,2,0,97,3,Yes,Yes,88.1,56.5,Placed
STU00123,8.76,0,3,0,63.9,3.8,Yes,No,59.5,91.7,NotPlaced
STU07874,6.69,0,2,1,58,3.7,Yes,No,72.9,67.9,NotPlaced
STU03863,7.49,2,0,1,81.1,1.9,Yes,No,87.1,74.5,NotPlaced
STU04247,7.65,0,2,2,68.4,3.4,Yes,Yes,77.4,86.5,NotPlaced
STU01551,7.41,0,3,2,79,3.6,No,No,71.8,61,Placed
